31
135
8;9;14;10;11;10;10;11;9;8;5;7;7;10;14;11;10;11;7;10;6;11;7;7;10;14;11;7;10;11;11;10;7;8;11;7;14;7;6;11;9;6;10;7;11;11;14;7;9;8;10;6;11;9;7;6;11;10;11;14;9;7;8;6;10;11;6;6;9;11;7;14;10;6;6;11;10;7;9;7;6;10;7;11;14;10;7;6;11;6;11;9;6;7;10;6;11;8;14;10;7;11;6;6;11;6;10;7;11;6;14;10;7;11;11;6;7;10;14;8;10;7;6;6;11;14;6;8;6;14;6;7;6;14;8;
5;2;21;3;14;3;3;11;2;10;8;10;10;3;21;11;3;14;10;3;6;11;10;10;3;21;11;10;3;14;11;3;10;10;11;10;21;10;6;11;4;6;3;4;14;11;21;10;4;10;3;6;11;4;10;6;14;3;11;21;4;10;10;6;3;11;6;6;4;14;10;21;3;6;6;11;3;4;4;10;6;3;10;11;21;3;10;6;11;6;14;4;6;10;3;6;11;10;21;3;10;11;6;6;14;6;3;10;11;6;21;3;10;11;14;6;10;3;21;10;3;10;6;6;14;21;6;10;6;21;6;10;6;21;5;
5;1;21;2;14;2;2;10;1;10;7;9;9;2;21;10;2;14;9;2;7;10;9;9;2;21;10;9;2;14;10;2;9;10;10;9;21;9;7;10;4;7;2;4;14;10;21;9;4;10;2;7;10;4;9;7;14;2;10;21;4;9;10;7;2;10;7;7;4;14;9;21;2;7;7;10;2;4;4;9;7;2;9;10;21;2;9;7;10;7;14;4;7;9;2;7;10;10;21;2;9;10;7;7;14;7;2;9;10;7;21;2;9;10;14;7;9;2;21;10;2;9;7;7;14;21;7;10;7;21;7;9;7;21;5;
7;4;21;5;15;5;5;6;4;12;4;6;6;5;21;6;5;15;6;5;7;6;6;6;5;21;6;6;5;15;6;5;6;12;6;6;21;6;7;6;4;7;5;5;15;6;21;6;4;12;5;7;6;4;6;7;15;5;6;21;4;6;12;7;5;6;7;7;4;15;6;21;5;7;7;6;5;5;4;6;7;5;6;6;21;5;6;7;6;7;15;4;7;6;5;7;6;12;21;5;6;6;7;7;15;7;5;6;6;7;21;5;6;6;15;7;6;5;21;12;5;6;7;7;15;21;7;12;7;21;7;6;7;21;7;
4;3;19;4;13;4;4;10;3;9;5;7;7;4;19;10;4;13;7;4;5;10;7;7;4;19;10;7;4;13;10;4;7;9;10;7;19;7;5;10;2;5;4;2;13;10;19;7;2;9;4;5;10;2;7;5;13;4;10;19;2;7;9;5;4;10;5;5;2;13;7;19;4;5;5;10;4;2;2;7;5;4;7;10;19;4;7;5;10;5;13;2;5;7;4;5;10;9;19;4;7;10;5;5;13;5;4;7;10;5;19;4;7;10;13;5;7;4;19;9;4;7;5;5;13;19;5;9;5;19;5;7;5;19;4;
3;3;20;4;13;4;4;12;3;8;7;9;9;4;20;12;4;13;9;4;5;12;9;9;4;20;12;9;4;13;12;4;9;8;12;9;20;9;5;12;4;5;4;4;13;12;20;9;4;8;4;5;12;4;9;5;13;4;12;20;4;9;8;5;4;12;5;5;4;13;9;20;4;5;5;12;4;4;4;9;5;4;9;12;20;4;9;5;12;5;13;4;5;9;4;5;12;8;20;4;9;12;5;5;13;5;4;9;12;5;20;4;9;12;13;5;9;4;20;8;4;9;5;5;13;20;5;8;5;20;5;9;5;20;3;
12;10;23;10;18;10;10;0;10;15;7;5;5;10;23;0;10;18;5;10;11;0;5;5;10;23;0;5;10;18;0;10;5;15;0;5;23;5;11;0;10;11;10;10;18;0;23;5;10;15;10;11;0;10;5;11;18;10;0;23;10;5;15;11;10;0;11;11;10;18;5;23;10;11;11;0;10;10;10;5;11;10;5;0;23;10;5;11;0;11;18;10;11;5;10;11;0;15;23;10;5;0;11;11;18;11;10;5;0;11;23;10;5;0;18;11;5;10;23;15;10;5;11;11;18;23;11;15;11;23;11;5;11;23;12;
10;10;20;11;16;11;11;7;10;13;4;3;3;11;20;7;11;16;3;11;10;7;3;3;11;20;7;3;11;16;7;11;3;13;7;3;20;3;10;7;10;10;11;9;16;7;20;3;10;13;11;10;7;10;3;10;16;11;7;20;10;3;13;10;11;7;10;10;10;16;3;20;11;10;10;7;11;9;10;3;10;11;3;7;20;11;3;10;7;10;16;10;10;3;11;10;7;13;20;11;3;7;10;10;16;10;11;3;7;10;20;11;3;7;16;10;3;11;20;13;11;3;10;10;16;20;10;13;10;20;10;3;10;20;10;
10;13;14;14;6;14;14;15;13;7;11;13;13;14;14;15;14;6;13;14;7;15;13;13;14;14;15;13;14;6;15;14;13;7;15;13;14;13;7;15;12;7;14;10;6;15;14;13;12;7;14;7;15;12;13;7;6;14;15;14;12;13;7;7;14;15;7;7;12;6;13;14;14;7;7;15;14;10;12;13;7;14;13;15;14;14;13;7;15;7;6;12;7;13;14;7;15;7;14;14;13;15;7;7;6;7;14;13;15;7;14;14;13;15;6;7;13;14;14;7;14;13;7;7;6;14;7;7;7;14;7;13;7;14;10;
9;10;18;10;14;10;10;7;10;11;3;3;3;10;18;7;10;14;3;10;8;7;3;3;10;18;7;3;10;14;7;10;3;11;7;3;18;3;8;7;9;8;10;9;14;7;18;3;9;11;10;8;7;9;3;8;14;10;7;18;9;3;11;8;10;7;8;8;9;14;3;18;10;8;8;7;10;9;9;3;8;10;3;7;18;10;3;8;7;8;14;9;8;3;10;8;7;11;18;10;3;7;8;8;14;8;10;3;7;8;18;10;3;7;14;8;3;10;18;11;10;3;8;8;14;18;8;11;8;18;8;3;8;18;9;
