31
51
8;10;10;10;5;7;7;10;10;7;10;7;7;10;7;10;10;7;7;7;10;7;10;7;10;7;10;7;10;6;10;7;10;7;10;7;7;10;10;7;10;7;10;7;7;10;10;7;6;7;8;
5;3;3;3;8;10;10;3;3;10;3;10;10;3;10;3;3;10;10;10;3;10;3;10;3;10;3;10;3;6;3;10;3;10;3;10;10;3;3;10;3;10;3;10;10;3;3;10;6;10;5;
5;2;2;2;7;9;9;2;2;9;2;9;9;2;9;2;2;9;9;9;2;9;2;9;2;9;2;9;2;7;2;9;2;9;2;9;9;2;2;9;2;9;2;9;9;2;2;9;7;9;5;
7;5;5;5;4;6;6;5;5;6;5;6;6;5;6;5;5;6;6;6;5;6;5;6;5;6;5;6;5;7;5;6;5;6;5;6;6;5;5;6;5;6;5;6;6;5;5;6;7;6;7;
4;4;4;4;5;7;7;4;4;7;4;7;7;4;7;4;4;7;7;7;4;7;4;7;4;7;4;7;4;5;4;7;4;7;4;7;7;4;4;7;4;7;4;7;7;4;4;7;5;7;4;
3;4;4;4;7;9;9;4;4;9;4;9;9;4;9;4;4;9;9;9;4;9;4;9;4;9;4;9;4;5;4;9;4;9;4;9;9;4;4;9;4;9;4;9;9;4;4;9;5;9;3;
12;10;10;10;7;5;5;10;10;5;10;5;5;10;5;10;10;5;5;5;10;5;10;5;10;5;10;5;10;11;10;5;10;5;10;5;5;10;10;5;10;5;10;5;5;10;10;5;11;5;12;
10;11;11;11;4;3;3;11;11;3;11;3;3;11;3;11;11;3;3;3;11;3;11;3;11;3;11;3;11;10;11;3;11;3;11;3;3;11;11;3;11;3;11;3;3;11;11;3;10;3;10;
10;14;14;14;11;13;13;14;14;13;14;13;13;14;13;14;14;13;13;13;14;13;14;13;14;13;14;13;14;7;14;13;14;13;14;13;13;14;14;13;14;13;14;13;13;14;14;13;7;13;10;
9;10;10;10;3;3;3;10;10;3;10;3;3;10;3;10;10;3;3;3;10;3;10;3;10;3;10;3;10;8;10;3;10;3;10;3;3;10;10;3;10;3;10;3;3;10;10;3;8;3;9;
12;16;16;16;13;15;15;16;16;15;16;15;15;16;15;16;16;15;15;15;16;15;16;15;16;15;16;15;16;8;16;15;16;15;16;15;15;16;16;15;16;15;16;15;15;16;16;15;8;15;12;
10;8;8;8;15;14;14;8;8;14;8;14;14;8;14;8;8;14;14;14;8;14;8;14;8;14;8;14;8;12;8;14;8;14;8;14;14;8;8;14;8;14;8;14;14;8;8;14;12;14;10;
6;1;1;1;8;10;10;1;1;10;1;10;10;1;10;1;1;10;10;10;1;10;1;10;1;10;1;10;1;8;1;10;1;10;1;10;10;1;1;10;1;10;1;10;10;1;1;10;8;10;6;
9;10;10;10;3;0;0;10;10;0;10;0;0;10;0;10;10;0;0;0;10;0;10;0;10;0;10;0;10;9;10;0;10;0;10;0;0;10;10;0;10;0;10;0;0;10;10;0;9;0;9;
18;18;18;18;19;21;21;18;18;21;18;21;21;18;21;18;18;21;21;21;18;21;18;21;18;21;18;21;18;15;18;21;18;21;18;21;21;18;18;21;18;21;18;21;21;18;18;21;15;21;18;
20;22;22;22;17;19;19;22;22;19;22;19;19;22;19;22;22;19;19;19;22;19;22;19;22;19;22;19;22;16;22;19;22;19;22;19;19;22;22;19;22;19;22;19;19;22;22;19;16;19;20;
8;12;12;12;11;13;13;12;12;13;12;13;13;12;13;12;12;13;13;13;12;13;12;13;12;13;12;13;12;7;12;13;12;13;12;13;13;12;12;13;12;13;12;13;13;12;12;13;7;13;8;
11;15;15;15;13;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;8;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;8;15;11;
7;3;3;3;5;7;7;3;3;7;3;7;7;3;7;3;3;7;7;7;3;7;3;7;3;7;3;7;3;7;3;7;3;7;3;7;7;3;3;7;3;7;3;7;7;3;3;7;7;7;7;
10;10;10;10;15;17;17;10;10;17;10;17;17;10;17;10;10;17;17;17;10;17;10;17;10;17;10;17;10;12;10;17;10;17;10;17;17;10;10;17;10;17;10;17;17;10;10;17;12;17;10;
12;12;12;12;17;19;19;12;12;19;12;19;19;12;19;12;12;19;19;19;12;19;12;19;12;19;12;19;12;14;12;19;12;19;12;19;19;12;12;19;12;19;12;19;19;12;12;19;14;19;12;
9;11;11;11;6;8;8;11;11;8;11;8;8;11;8;11;11;8;8;8;11;8;11;8;11;8;11;8;11;7;11;8;11;8;11;8;8;11;11;8;11;8;11;8;8;11;11;8;7;8;9;
4;7;7;7;7;9;9;7;7;9;7;9;9;7;9;7;7;9;9;9;7;9;7;9;7;9;7;9;7;1;7;9;7;9;7;9;9;7;7;9;7;9;7;9;9;7;7;9;1;9;4;
5;8;8;8;6;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;2;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;2;8;5;
0;6;6;6;7;9;9;6;6;9;6;9;9;6;9;6;6;9;9;9;6;9;6;9;6;9;6;9;6;3;6;9;6;9;6;9;9;6;6;9;6;9;6;9;9;6;6;9;3;9;0;
0;6;6;6;7;9;9;6;6;9;6;9;9;6;9;6;6;9;9;9;6;9;6;9;6;9;6;9;6;3;6;9;6;9;6;9;9;6;6;9;6;9;6;9;9;6;6;9;3;9;0;
0;6;6;6;7;9;9;6;6;9;6;9;9;6;9;6;6;9;9;9;6;9;6;9;6;9;6;9;6;3;6;9;6;9;6;9;9;6;6;9;6;9;6;9;9;6;6;9;3;9;0;
0;6;6;6;7;9;9;6;6;9;6;9;9;6;9;6;6;9;9;9;6;9;6;9;6;9;6;9;6;3;6;9;6;9;6;9;9;6;6;9;6;9;6;9;9;6;6;9;3;9;0;
0;6;6;6;7;9;9;6;6;9;6;9;9;6;9;6;6;9;9;9;6;9;6;9;6;9;6;9;6;3;6;9;6;9;6;9;9;6;6;9;6;9;6;9;9;6;6;9;3;9;0;
0;6;6;6;7;9;9;6;6;9;6;9;9;6;9;6;6;9;9;9;6;9;6;9;6;9;6;9;6;3;6;9;6;9;6;9;9;6;6;9;6;9;6;9;9;6;6;9;3;9;0;
0;6;6;6;7;9;9;6;6;9;6;9;9;6;9;6;6;9;9;9;6;9;6;9;6;9;6;9;6;3;6;9;6;9;6;9;9;6;6;9;6;9;6;9;9;6;6;9;3;9;0;
