31
162
8;16;14;10;6;16;10;10;16;6;8;5;3;7;16;3;7;10;14;16;3;10;16;3;7;10;6;7;16;3;7;16;10;3;14;6;7;16;10;16;10;7;16;3;8;7;3;14;16;6;7;6;16;3;6;6;10;16;14;7;6;8;16;10;3;7;6;10;16;14;7;6;6;8;3;16;10;6;16;6;7;14;16;10;6;6;3;10;16;7;6;10;7;6;16;6;3;14;10;7;16;16;6;7;10;6;6;16;8;6;3;14;10;16;7;16;6;10;7;6;16;16;14;10;7;6;6;16;3;6;7;10;16;14;6;16;16;3;8;10;7;6;6;16;14;6;16;6;8;6;6;14;16;6;6;16;7;3;6;16;14;8;
5;15;21;3;7;15;3;3;15;7;10;8;11;10;15;11;10;3;21;15;11;3;15;11;10;3;6;10;15;11;10;15;3;11;21;7;10;15;3;15;3;10;15;11;10;10;11;21;15;7;10;7;15;11;7;6;3;15;21;10;7;10;15;3;11;10;6;3;15;21;10;7;7;10;11;15;3;6;15;7;10;21;15;3;6;7;11;3;15;10;6;3;10;7;15;7;11;21;3;10;15;15;6;10;3;6;7;15;10;7;11;21;3;15;10;15;6;3;10;7;15;15;21;3;10;7;7;15;11;6;10;3;15;21;7;15;15;11;10;3;10;6;7;15;21;7;15;6;10;6;7;21;15;7;6;15;10;11;6;15;21;5;
5;16;21;2;7;16;2;2;16;7;10;7;11;9;16;11;9;2;21;16;11;2;16;11;9;2;7;9;16;11;9;16;2;11;21;7;9;16;2;16;2;9;16;11;10;9;11;21;16;7;9;7;16;11;7;7;2;16;21;9;7;10;16;2;11;9;7;2;16;21;9;7;7;10;11;16;2;7;16;7;9;21;16;2;7;7;11;2;16;9;7;2;9;7;16;7;11;21;2;9;16;16;7;9;2;7;7;16;10;7;11;21;2;16;9;16;7;2;9;7;16;16;21;2;9;7;7;16;11;7;9;2;16;21;7;16;16;11;10;2;9;7;7;16;21;7;16;7;10;7;7;21;16;7;7;16;9;11;7;16;21;5;
7;18;21;5;7;18;5;5;18;7;12;4;10;6;18;10;6;5;21;18;10;5;18;10;6;5;7;6;18;10;6;18;5;10;21;7;6;18;5;18;5;6;18;10;12;6;10;21;18;7;6;7;18;10;7;7;5;18;21;6;7;12;18;5;10;6;7;5;18;21;6;7;7;12;10;18;5;7;18;7;6;21;18;5;7;7;10;5;18;6;7;5;6;7;18;7;10;21;5;6;18;18;7;6;5;7;7;18;12;7;10;21;5;18;6;18;7;5;6;7;18;18;21;5;6;7;7;18;10;7;6;5;18;21;7;18;18;10;12;5;6;7;7;18;21;7;18;7;12;7;7;21;18;7;7;18;6;10;7;18;21;7;
4;15;19;4;5;15;4;4;15;5;9;5;9;7;15;9;7;4;19;15;9;4;15;9;7;4;5;7;15;9;7;15;4;9;19;5;7;15;4;15;4;7;15;9;9;7;9;19;15;5;7;5;15;9;5;5;4;15;19;7;5;9;15;4;9;7;5;4;15;19;7;5;5;9;9;15;4;5;15;5;7;19;15;4;5;5;9;4;15;7;5;4;7;5;15;5;9;19;4;7;15;15;5;7;4;5;5;15;9;5;9;19;4;15;7;15;5;4;7;5;15;15;19;4;7;5;5;15;9;5;7;4;15;19;5;15;15;9;9;4;7;5;5;15;19;5;15;5;9;5;5;19;15;5;5;15;7;9;5;15;19;4;
3;14;20;4;6;14;4;4;14;6;8;7;10;9;14;10;9;4;20;14;10;4;14;10;9;4;5;9;14;10;9;14;4;10;20;6;9;14;4;14;4;9;14;10;8;9;10;20;14;6;9;6;14;10;6;5;4;14;20;9;6;8;14;4;10;9;5;4;14;20;9;6;6;8;10;14;4;5;14;6;9;20;14;4;5;6;10;4;14;9;5;4;9;6;14;6;10;20;4;9;14;14;5;9;4;5;6;14;8;6;10;20;4;14;9;14;5;4;9;6;14;14;20;4;9;6;6;14;10;5;9;4;14;20;6;14;14;10;8;4;9;5;6;14;20;6;14;5;8;5;6;20;14;6;5;14;9;10;5;14;20;3;
12;22;23;10;11;22;10;10;22;11;15;7;12;5;22;12;5;10;23;22;12;10;22;12;5;10;11;5;22;12;5;22;10;12;23;11;5;22;10;22;10;5;22;12;15;5;12;23;22;11;5;11;22;12;11;11;10;22;23;5;11;15;22;10;12;5;11;10;22;23;5;11;11;15;12;22;10;11;22;11;5;23;22;10;11;11;12;10;22;5;11;10;5;11;22;11;12;23;10;5;22;22;11;5;10;11;11;22;15;11;12;23;10;22;5;22;11;10;5;11;22;22;23;10;5;11;11;22;12;11;5;10;22;23;11;22;22;12;15;10;5;11;11;22;23;11;22;11;15;11;11;23;22;11;11;22;5;12;11;22;23;12;
10;21;20;11;9;21;11;11;21;9;13;4;8;3;21;8;3;11;20;21;8;11;21;8;3;11;10;3;21;8;3;21;11;8;20;9;3;21;11;21;11;3;21;8;13;3;8;20;21;9;3;9;21;8;9;10;11;21;20;3;9;13;21;11;8;3;10;11;21;20;3;9;9;13;8;21;11;10;21;9;3;20;21;11;10;9;8;11;21;3;10;11;3;9;21;9;8;20;11;3;21;21;10;3;11;10;9;21;13;9;8;20;11;21;3;21;10;11;3;9;21;21;20;11;3;9;9;21;8;10;3;11;21;20;9;21;21;8;13;11;3;10;9;21;20;9;21;10;13;10;9;20;21;9;10;21;3;8;10;21;20;10;
10;15;14;14;6;15;14;14;15;6;7;11;11;13;15;11;13;14;14;15;11;14;15;11;13;14;7;13;15;11;13;15;14;11;14;6;13;15;14;15;14;13;15;11;7;13;11;14;15;6;13;6;15;11;6;7;14;15;14;13;6;7;15;14;11;13;7;14;15;14;13;6;6;7;11;15;14;7;15;6;13;14;15;14;7;6;11;14;15;13;7;14;13;6;15;6;11;14;14;13;15;15;7;13;14;7;6;15;7;6;11;14;14;15;13;15;7;14;13;6;15;15;14;14;13;6;6;15;11;7;13;14;15;14;6;15;15;11;7;14;13;7;6;15;14;6;15;7;7;7;6;14;15;6;7;15;13;11;7;15;14;10;
9;20;18;10;7;20;10;10;20;7;11;3;6;3;20;6;3;10;18;20;6;10;20;6;3;10;8;3;20;6;3;20;10;6;18;7;3;20;10;20;10;3;20;6;11;3;6;18;20;7;3;7;20;6;7;8;10;20;18;3;7;11;20;10;6;3;8;10;20;18;3;7;7;11;6;20;10;8;20;7;3;18;20;10;8;7;6;10;20;3;8;10;3;7;20;7;6;18;10;3;20;20;8;3;10;8;7;20;11;7;6;18;10;20;3;20;8;10;3;7;20;20;18;10;3;7;7;20;6;8;3;10;20;18;7;20;20;6;11;10;3;8;7;20;18;7;20;8;11;8;7;18;20;7;8;20;3;6;8;20;18;9;
