31
85
8;14;10;10;10;8;5;7;7;10;14;10;7;10;6;7;7;10;14;7;10;10;7;8;7;14;7;6;10;14;7;8;10;7;6;10;14;7;8;10;6;7;14;10;6;10;7;6;10;7;14;10;7;6;7;10;6;8;14;10;7;6;10;7;14;10;7;6;7;10;14;8;10;7;6;14;6;8;6;14;6;7;6;14;8;
5;21;3;3;3;10;8;10;10;3;21;3;10;3;6;10;10;3;21;10;3;3;10;10;10;21;10;6;3;21;10;10;3;10;6;3;21;10;10;3;6;10;21;3;6;3;10;6;3;10;21;3;10;6;10;3;6;10;21;3;10;6;3;10;21;3;10;6;10;3;21;10;3;10;6;21;6;10;6;21;6;10;6;21;5;
5;21;2;2;2;10;7;9;9;2;21;2;9;2;7;9;9;2;21;9;2;2;9;10;9;21;9;7;2;21;9;10;2;9;7;2;21;9;10;2;7;9;21;2;7;2;9;7;2;9;21;2;9;7;9;2;7;10;21;2;9;7;2;9;21;2;9;7;9;2;21;10;2;9;7;21;7;10;7;21;7;9;7;21;5;
7;21;5;5;5;12;4;6;6;5;21;5;6;5;7;6;6;5;21;6;5;5;6;12;6;21;6;7;5;21;6;12;5;6;7;5;21;6;12;5;7;6;21;5;7;5;6;7;5;6;21;5;6;7;6;5;7;12;21;5;6;7;5;6;21;5;6;7;6;5;21;12;5;6;7;21;7;12;7;21;7;6;7;21;7;
4;19;4;4;4;9;5;7;7;4;19;4;7;4;5;7;7;4;19;7;4;4;7;9;7;19;7;5;4;19;7;9;4;7;5;4;19;7;9;4;5;7;19;4;5;4;7;5;4;7;19;4;7;5;7;4;5;9;19;4;7;5;4;7;19;4;7;5;7;4;19;9;4;7;5;19;5;9;5;19;5;7;5;19;4;
3;20;4;4;4;8;7;9;9;4;20;4;9;4;5;9;9;4;20;9;4;4;9;8;9;20;9;5;4;20;9;8;4;9;5;4;20;9;8;4;5;9;20;4;5;4;9;5;4;9;20;4;9;5;9;4;5;8;20;4;9;5;4;9;20;4;9;5;9;4;20;8;4;9;5;20;5;8;5;20;5;9;5;20;3;
12;23;10;10;10;15;7;5;5;10;23;10;5;10;11;5;5;10;23;5;10;10;5;15;5;23;5;11;10;23;5;15;10;5;11;10;23;5;15;10;11;5;23;10;11;10;5;11;10;5;23;10;5;11;5;10;11;15;23;10;5;11;10;5;23;10;5;11;5;10;23;15;10;5;11;23;11;15;11;23;11;5;11;23;12;
10;20;11;11;11;13;4;3;3;11;20;11;3;11;10;3;3;11;20;3;11;11;3;13;3;20;3;10;11;20;3;13;11;3;10;11;20;3;13;11;10;3;20;11;10;11;3;10;11;3;20;11;3;10;3;11;10;13;20;11;3;10;11;3;20;11;3;10;3;11;20;13;11;3;10;20;10;13;10;20;10;3;10;20;10;
10;14;14;14;14;7;11;13;13;14;14;14;13;14;7;13;13;14;14;13;14;14;13;7;13;14;13;7;14;14;13;7;14;13;7;14;14;13;7;14;7;13;14;14;7;14;13;7;14;13;14;14;13;7;13;14;7;7;14;14;13;7;14;13;14;14;13;7;13;14;14;7;14;13;7;14;7;7;7;14;7;13;7;14;10;
9;18;10;10;10;11;3;3;3;10;18;10;3;10;8;3;3;10;18;3;10;10;3;11;3;18;3;8;10;18;3;11;10;3;8;10;18;3;11;10;8;3;18;10;8;10;3;8;10;3;18;10;3;8;3;10;8;11;18;10;3;8;10;3;18;10;3;8;3;10;18;11;10;3;8;18;8;11;8;18;8;3;8;18;9;
