31
79
8;16;6;16;16;6;3;16;3;16;3;16;3;16;3;16;3;6;16;16;16;3;3;16;6;6;16;3;6;16;6;16;3;16;6;6;3;16;16;6;16;6;3;16;6;16;6;3;16;16;6;16;6;3;16;16;6;16;16;6;6;16;3;16;6;16;16;3;6;16;6;16;6;16;6;16;3;16;8;
5;15;7;15;15;7;11;15;11;15;11;15;11;15;11;15;11;7;15;15;15;11;11;15;7;7;15;11;7;15;7;15;11;15;7;7;11;15;15;7;15;7;11;15;7;15;7;11;15;15;7;15;7;11;15;15;7;15;15;7;7;15;11;15;7;15;15;11;7;15;7;15;7;15;7;15;11;15;5;
5;16;7;16;16;7;11;16;11;16;11;16;11;16;11;16;11;7;16;16;16;11;11;16;7;7;16;11;7;16;7;16;11;16;7;7;11;16;16;7;16;7;11;16;7;16;7;11;16;16;7;16;7;11;16;16;7;16;16;7;7;16;11;16;7;16;16;11;7;16;7;16;7;16;7;16;11;16;5;
7;18;7;18;18;7;10;18;10;18;10;18;10;18;10;18;10;7;18;18;18;10;10;18;7;7;18;10;7;18;7;18;10;18;7;7;10;18;18;7;18;7;10;18;7;18;7;10;18;18;7;18;7;10;18;18;7;18;18;7;7;18;10;18;7;18;18;10;7;18;7;18;7;18;7;18;10;18;7;
4;15;5;15;15;5;9;15;9;15;9;15;9;15;9;15;9;5;15;15;15;9;9;15;5;5;15;9;5;15;5;15;9;15;5;5;9;15;15;5;15;5;9;15;5;15;5;9;15;15;5;15;5;9;15;15;5;15;15;5;5;15;9;15;5;15;15;9;5;15;5;15;5;15;5;15;9;15;4;
3;14;6;14;14;6;10;14;10;14;10;14;10;14;10;14;10;6;14;14;14;10;10;14;6;6;14;10;6;14;6;14;10;14;6;6;10;14;14;6;14;6;10;14;6;14;6;10;14;14;6;14;6;10;14;14;6;14;14;6;6;14;10;14;6;14;14;10;6;14;6;14;6;14;6;14;10;14;3;
12;22;11;22;22;11;12;22;12;22;12;22;12;22;12;22;12;11;22;22;22;12;12;22;11;11;22;12;11;22;11;22;12;22;11;11;12;22;22;11;22;11;12;22;11;22;11;12;22;22;11;22;11;12;22;22;11;22;22;11;11;22;12;22;11;22;22;12;11;22;11;22;11;22;11;22;12;22;12;
10;21;9;21;21;9;8;21;8;21;8;21;8;21;8;21;8;9;21;21;21;8;8;21;9;9;21;8;9;21;9;21;8;21;9;9;8;21;21;9;21;9;8;21;9;21;9;8;21;21;9;21;9;8;21;21;9;21;21;9;9;21;8;21;9;21;21;8;9;21;9;21;9;21;9;21;8;21;10;
10;15;6;15;15;6;11;15;11;15;11;15;11;15;11;15;11;6;15;15;15;11;11;15;6;6;15;11;6;15;6;15;11;15;6;6;11;15;15;6;15;6;11;15;6;15;6;11;15;15;6;15;6;11;15;15;6;15;15;6;6;15;11;15;6;15;15;11;6;15;6;15;6;15;6;15;11;15;10;
9;20;7;20;20;7;6;20;6;20;6;20;6;20;6;20;6;7;20;20;20;6;6;20;7;7;20;6;7;20;7;20;6;20;7;7;6;20;20;7;20;7;6;20;7;20;7;6;20;20;7;20;7;6;20;20;7;20;20;7;7;20;6;20;7;20;20;6;7;20;7;20;7;20;7;20;6;20;9;
12;14;8;14;14;8;13;14;13;14;13;14;13;14;13;14;13;8;14;14;14;13;13;14;8;8;14;13;8;14;8;14;13;14;8;8;13;14;14;8;14;8;13;14;8;14;8;13;14;14;8;14;8;13;14;14;8;14;14;8;8;14;13;14;8;14;14;13;8;14;8;14;8;14;8;14;13;14;12;
10;21;13;21;21;13;18;21;18;21;18;21;18;21;18;21;18;13;21;21;21;18;18;21;13;13;21;18;13;21;13;21;18;21;13;13;18;21;21;13;21;13;18;21;13;21;13;18;21;21;13;21;13;18;21;21;13;21;21;13;13;21;18;21;13;21;21;18;13;21;13;21;13;21;13;21;18;21;10;
6;17;8;17;17;8;12;17;12;17;12;17;12;17;12;17;12;8;17;17;17;12;12;17;8;8;17;12;8;17;8;17;12;17;8;8;12;17;17;8;17;8;12;17;8;17;8;12;17;17;8;17;8;12;17;17;8;17;17;8;8;17;12;17;8;17;17;12;8;17;8;17;8;17;8;17;12;17;6;
9;20;8;20;20;8;8;20;8;20;8;20;8;20;8;20;8;8;20;20;20;8;8;20;8;8;20;8;8;20;8;20;8;20;8;8;8;20;20;8;20;8;8;20;8;20;8;8;20;20;8;20;8;8;20;20;8;20;20;8;8;20;8;20;8;20;20;8;8;20;8;20;8;20;8;20;8;20;9;
18;0;15;0;0;15;19;0;19;0;19;0;19;0;19;0;19;15;0;0;0;19;19;0;15;15;0;19;15;0;15;0;19;0;15;15;19;0;0;15;0;15;19;0;15;0;15;19;0;0;15;0;15;19;0;0;15;0;0;15;15;0;19;0;15;0;0;19;15;0;15;0;15;0;15;0;19;0;18;
20;26;16;26;26;16;16;26;16;26;16;26;16;26;16;26;16;16;26;26;26;16;16;26;16;16;26;16;16;26;16;26;16;26;16;16;16;26;26;16;26;16;16;26;16;26;16;16;26;26;16;26;16;16;26;26;16;26;26;16;16;26;16;26;16;26;26;16;16;26;16;26;16;26;16;26;16;26;20;
8;11;7;11;11;7;11;11;11;11;11;11;11;11;11;11;11;7;11;11;11;11;11;11;7;7;11;11;7;11;7;11;11;11;7;7;11;11;11;7;11;7;11;11;7;11;7;11;11;11;7;11;7;11;11;11;7;11;11;7;7;11;11;11;7;11;11;11;7;11;7;11;7;11;7;11;11;11;8;
11;17;8;17;17;8;13;17;13;17;13;17;13;17;13;17;13;8;17;17;17;13;13;17;8;8;17;13;8;17;8;17;13;17;8;8;13;17;17;8;17;8;13;17;8;17;8;13;17;17;8;17;8;13;17;17;8;17;17;8;8;17;13;17;8;17;17;13;8;17;8;17;8;17;8;17;13;17;11;
7;17;7;17;17;7;11;17;11;17;11;17;11;17;11;17;11;7;17;17;17;11;11;17;7;7;17;11;7;17;7;17;11;17;7;7;11;17;17;7;17;7;11;17;7;17;7;11;17;17;7;17;7;11;17;17;7;17;17;7;7;17;11;17;7;17;17;11;7;17;7;17;7;17;7;17;11;17;7;
10;20;13;20;20;13;17;20;17;20;17;20;17;20;17;20;17;13;20;20;20;17;17;20;13;13;20;17;13;20;13;20;17;20;13;13;17;20;20;13;20;13;17;20;13;20;13;17;20;20;13;20;13;17;20;20;13;20;20;13;13;20;17;20;13;20;20;17;13;20;13;20;13;20;13;20;17;20;10;
12;22;15;22;22;15;19;22;19;22;19;22;19;22;19;22;19;15;22;22;22;19;19;22;15;15;22;19;15;22;15;22;19;22;15;15;19;22;22;15;22;15;19;22;15;22;15;19;22;22;15;22;15;19;22;22;15;22;22;15;15;22;19;22;15;22;22;19;15;22;15;22;15;22;15;22;19;22;12;
9;17;6;17;17;6;4;17;4;17;4;17;4;17;4;17;4;6;17;17;17;4;4;17;6;6;17;4;6;17;6;17;4;17;6;6;4;17;17;6;17;6;4;17;6;17;6;4;17;17;6;17;6;4;17;17;6;17;17;6;6;17;4;17;6;17;17;4;6;17;6;17;6;17;6;17;4;17;9;
