4 100 50
15 15 15 16
12 531 12 824
21 777 23 820
25 817 47 874
41 716 41 958
16 799 40 823
24 1181 24 1387
21 434 21 648
9 646 40 690
18 869 8 949
6 666 16 727
49 875 49 1152
14 1184 14 1432
45 673 45 874
7 679 7 876
32 762 48 801
17 724 17 1013
41 779 41 981
44 746 28 786
7 1016 7 1239
6 576 6 824
42 1010 37 1064
13 1067 13 1304
19 636 27 676
17 612 17 905
46 456 46 741
21 601 21 799
13 942 17 973
23 986 28 1052
29 1081 29 1294
13 817 13 849
37 1188 37 1486
45 400 45 697
29 674 29 897
8 868 21 936
43 1062 29 1132
18 566 18 808
18 550 23 625
26 442 26 668
13 420 13 611
34 657 46 693
44 808 44 1040
27 863 22 937
31 967 31 1184
5 1151 5 1368
11 460 48 487
11 654 11 892
15 727 15 912
42 950 42 1165
49 767 49 1051
45 428 17 498
37 441 35 485
5 798 5 1061
35 473 35 705
31 995 34 1078
26 869 45 923
18 467 31 502
18 449 18 713
48 710 29 743
17 424 47 471
8 665 8 904
10 854 10 1133
45 1195 45 1460
13 467 13 744
14 800 14 1060
17 544 22 605
9 917 9 1156
34 1124 34 1321
30 911 30 1126
29 515 15 579
48 1028 48 1312
22 419 22 602
30 333 30 617
25 651 25 887
9 773 22 852
24 885 8 980
14 932 14 1158
18 1063 40 1128
21 821 48 881
49 494 49 696
6 468 6 672
47 896 47 1118
18 1142 18 1433
25 473 25 732
44 1083 44 1320
9 1037 9 1308
6 1041 38 1108
5 711 5 993
40 592 40 827
49 331 49 597
34 856 34 1146
35 676 8 760
39 459 39 665
32 954 32 1167
25 914 25 1115
42 1054 42 1302
37 914 9 953
33 903 7 943
33 1088 33 1383
36 877 36 1080
46 1012 46 1203
0 85 60 60 68 54 57 44 58 13 38 58 42 37 15 48 32 60 74 26 71 9 56 30 8 55 51 17 56 27 37 71 43 46 59 31 24 28 60 17 29 65 37 58 50 20 57 36 49 32
