4 100 45
13 14 14 14
36 709 36 963
5 430 5 638
19 786 19 1046
17 761 17 1056
31 604 9 633
5 864 5 1155
32 1147 32 1419
30 530 30 732
26 1128 26 1321
20 335 20 571
23 422 12 492
25 433 21 458
22 1057 22 1266
40 602 12 677
39 711 5 759
9 369 9 669
24 781 24 1018
25 742 25 932
31 650 23 726
7 573 33 627
13 709 13 976
13 817 7 879
30 433 30 728
13 937 39 998
34 1051 29 1091
13 823 13 1045
34 1027 5 1082
44 995 11 1047
35 477 14 510
12 381 12 571
11 912 11 1186
21 543 39 594
20 475 20 745
5 474 5 664
21 801 21 832
6 1195 6 1417
21 1031 7 1057
38 703 38 995
43 451 43 738
28 853 28 1150
38 347 38 635
26 1173 26 1391
28 560 22 618
21 462 41 512
17 1162 17 1396
7 963 15 1037
43 492 9 573
43 705 43 986
43 728 43 909
8 677 8 972
42 896 34 976
38 652 11 708
35 442 35 647
6 421 5 455
15 450 19 497
15 678 15 873
24 1136 24 1390
13 465 13 692
43 459 35 527
30 436 42 537
18 906 20 966
26 318 26 501
21 799 26 848
5 339 5 551
44 748 44 944
17 822 33 856
5 1142 5 1428
13 714 11 758
29 554 28 599
14 1141 14 1354
41 962 41 1180
14 337 14 580
15 1046 15 1241
7 869 7 1079
25 959 25 1256
18 314 18 537
18 646 44 742
29 1059 8 1085
27 783 40 814
13 960 13 1212
13 682 13 897
43 1020 43 1296
38 1030 38 1239
37 427 8 482
10 331 10 564
27 462 27 726
20 1056 26 1091
33 613 33 806
24 429 24 639
37 890 30 932
7 844 7 1089
25 520 25 780
37 456 27 507
8 633 8 854
40 891 22 942
32 591 32 871
14 759 14 1044
17 761 17 1056
33 811 31 869
11 1124 11 1385
0 85 60 60 62 22 43 18 56 47 48 43 51 41 17 58 64 58 30 48 61 23 54 29 57 23 42 53 38 42 19 54 50 41 35 22 28 42 11 54 71 28 77 31 79
85 0 60 60 24 63 51 74 42 43 53 47 60 51 74 52 24 27 67 39 25 63 43 58 36 67 44 34 55 48 72 56 61 46 54 66 58 44 76 34 16 68 9 67 8
60 60 0 85 45 48 61 42 21 28 16 56 11 27 62 77 56 47 32 37 43 50 65 50 28 39 46 39 27 30 43 9 79 50 33 42 45 43 51 54 47 32 54 68 59
60 60 85 0 49 47 25 63 67 58 70 30 78 60 45 10 40 44 66 50 50 45 22 41 61 60 40 50 61 56 61 77 10 36 55 55 46 43 57 34 56 67 56 29 54
62 24 45 49 0 40 32 50 25 22 34 27 42 29 52 39 12 5 45 15 2 40 28 35 17 44 22 10 33 26 49 38 46 24 31 43 34 21 52 16 10 46 15 47 18
22 63 48 47 40 0 25 17 38 28 33 23 39 24 14 42 42 37 21 27 39 3 35 8 37 14 20 32 22 23 15 40 38 19 17 9 6 20 13 32 50 21 55 22 57
43 51 61 25 32 25 0 41 44 34 46 6 54 36 28 18 27 27 42 27 31 22 12 18 39 36 16 28 37 32 39 53 18 12 31 32 22 19 37 17 41 43 44 17 43
18 74 42 63 50 17 41 0 39 32 31 39 33 25 24 58 55 48 12 36 49 19 51 24 42 7 33 41 22 27 2 36 54 34 20 10 20 32 9 46 59 10 65 36 68
56 42 21 67 25 38 44 39 0 11 12 39 19 15 52 58 35 26 30 18 23 39 46 37 8 34 28 18 18 16 39 15 61 33 22 35 32 26 45 34 28 31 35 54 40
47 43 28 58 22 28 34 32 11 0 13 29 22 9 42 49 31 22 24 9 20 29 38 27 10 26 19 13 12 6 31 20 52 23 13 26 23 16 37 26 28 26 35 44 39
48 53 16 70 34 33 46 31 12 13 0 41 9 11 47 62 43 34 20 22 32 35 50 35 18 26 30 25 12 14 30 8 63 34 18 28 29 27 38 39 38 22 45 52 50
43 47 56 30 27 23 6 39 39 29 41 0 49 31 29 22 24 22 39 22 27 21 12 16 34 34 11 23 32 27 37 48 23 7 26 29 20 14 36 13 36 40 39 21 40
51 60 11 78 42 39 54 33 19 22 9 49 0 18 52 70 52 43 21 31 40 40 58 41 25 29 38 34 18 22 33 5 71 42 24 33 35 35 41 48 46 23 53 59 58
41 51 27 60 29 24 36 25 15 9 11 31 18 0 38 52 37 29 16 15 27 25 41 24 17 19 21 20 4 5 24 18 53 25 8 20 19 18 30 32 36 18 43 42 47
17 74 62 45 52 14 28 24 52 42 47 29 52 38 0 42 51 47 32 40 51 14 39 17 51 24 31 44 36 37 23 54 35 28 31 20 20 31 15 41 61 32 66 16 67
58 52 77 10 39 42 18 58 58 49 62 22 70 52 42 0 30 35 60 41 40 40 13 35 52 54 32 40 54 49 56 69 12 28 48 50 40 35 54 25 47 61 47 28 45
64 24 56 40 12 42 27 55 35 31 43 24 52 37 51 30 0 10 51 22 14 41 20 36 28 49 23 19 41 34 53 49 39 24 37 47 37 24 55 11 17 52 18 43 17
58 27 47 44 5 37 27 48 26 22 34 22 43 29 47 35 10 0 43 14 6 36 23 31 19 42 18 10 32 25 46 40 41 20 29 40 31 18 49 11 15 44 19 42 21
30 67 32 66 45 21 42 12 30 24 20 39 21 16 32 60 51 43 0 30 43 23 51 26 33 9 31 35 13 19 12 25 57 33 15 13 21 28 20 44 52 2 59 42 62
48 39 37 50 15 27 27 36 18 9 22 22 31 15 40 41 22 14 30 0 14 27 29 23 13 29 12 5 19 12 34 29 44 16 16 28 21 9 38 17 24 31 30 39 33
61 25 43 50 2 39 31 49 23 20 32 27 40 27 51 40 14 6 43 14 0 39 28 34 15 42 21 9 31 24 47 36 47 24 29 41 33 20 51 16 11 44 17 46 20
23 63 50 45 40 3 22 19 39 29 35 21 40 25 14 40 41 36 23 27 39 0 33 6 37 16 19 31 24 23 17 42 35 18 18 11 7 19 15 31 49 23 54 20 56
54 43 65 22 28 35 12 51 46 38 50 12 58 41 39 13 20 23 51 29 28 33 0 28 40 46 21 28 43 37 49 57 19 18 37 41 32 24 47 13 36 51 37 27 35
29 58 50 41 35 8 18 24 37 27 35 16 41 24 17 35 36 31 26 23 34 6 28 0 35 19 14 27 24 22 22 42 32 13 17 15 6 15 20 26 45 26 50 18 51
57 36 28 61 17 37 39 42 8 10 18 34 25 17 51 52 28 19 33 13 15 37 40 35 0 35 24 12 21 16 40 22 56 28 22 36 31 22 46 27 21 35 28 51 33
23 67 39 60 44 14 36 7 34 26 26 34 29 19 24 54 49 42 9 29 42 16 46 19 35 0 27 34 16 20 5 31 51 29 14 5 15 25 13 40 53 8 59 35 62
42 44 46 40 22 20 16 33 28 19 30 11 38 21 31 32 23 18 31 12 21 19 21 14 24 27 0 15 22 17 31 37 34 5 17 24 14 3 32 14 31 32 36 27 38
53 34 39 50 10 32 28 41 18 13 25 23 34 20 44 40 19 10 35 5 9 31 28 27 12 34 15 0 23 16 39 31 45 18 21 33 26 13 43 16 19 36 25 42 28
38 55 27 61 33 22 37 22 18 12 12 32 18 4 36 54 41 32 13 19 31 24 43 24 21 16 22 23 0 8 21 19 54 26 7 18 18 20 27 34 40 14 47 42 50
42 48 30 56 26 23 32 27 16 6 14 27 22 5 37 49 34 25 19 12 24 23 37 22 16 20 17 16 8 0 25 21 49 21 7 21 18 14 31 27 33 21 40 40 44
19 72 43 61 49 15 39 2 39 31 30 37 33 24 23 56 53 46 12 34 47 17 49 22 40 5 31 39 21 25 0 36 52 32 19 8 18 30 9 44 57 11 64 35 67
54 56 9 77 38 40 53 36 15 20 8 48 5 18 54 69 49 40 25 29 36 42 57 42 22 31 37 31 19 21 36 0 70 42 25 35 36 34 44 46 42 26 49 60 53
50 61 79 10 46 38 18 54 61 52 63 23 71 53 35 12 39 41 57 44 47 35 19 32 56 51 34 45 54 49 52 70 0 29 47 46 37 36 48 31 55 58 56 19 54
41 46 50 36 24 19 12 34 33 23 34 7 42 25 28 28 24 20 33 16 24 18 18 13 28 29 5 18 26 21 32 42 29 0 20 25 15 8 32 14 34 34 38 24 40
35 54 33 55 31 17 31 20 22 13 18 26 24 8 31 48 37 29 15 16 29 18 37 17 22 14 17 21 7 7 19 25 47 20 0 14 12 15 24 30 39 16 45 35 49
22 66 42 55 43 9 32 10 35 26 28 29 33 20 20 50 47 40 13 28 41 11 41 15 36 5 24 33 18 21 8 35 46 25 14 0 11 23 11 37 51 13 57 30 60
28 58 45 46 34 6 22 20 32 23 29 20 35 19 20 40 37 31 21 21 33 7 32 6 31 15 14 26 18 18 18 36 37 15 12 11 0 14 19 27 44 21 49 24 52
42 44 43 43 21 20 19 32 26 16 27 14 35 18 31 35 24 18 28 9 20 19 24 15 22 25 3 13 20 14 30 34 36 8 15 23 14 0 32 16 31 30 36 30 38
11 76 51 57 52 13 37 9 45 37 38 36 41 30 15 54 55 49 20 38 51 15 47 20 46 13 32 43 27 31 9 44 48 32 24 11 19 32 0 45 61 19 67 29 70
54 34 54 34 16 32 17 46 34 26 39 13 48 32 41 25 11 11 44 17 16 31 13 26 27 40 14 16 34 27 44 46 31 14 30 37 27 16 45 0 25 45 27 33 27
71 16 47 56 10 50 41 59 28 28 38 36 46 36 61 47 17 15 52 24 11 49 36 45 21 53 31 19 40 33 57 42 55 34 39 51 44 31 61 25 0 53 8 57 13
28 68 32 67 46 21 43 10 31 26 22 40 23 18 32 61 52 44 2 31 44 23 51 26 35 8 32 36 14 21 11 26 58 34 16 13 21 30 19 45 53 0 60 42 64
77 9 54 56 15 55 44 65 35 35 45 39 53 43 66 47 18 19 59 30 17 54 37 50 28 59 36 25 47 40 64 49 56 38 45 57 49 36 67 27 8 60 0 60 6
31 67 68 29 47 22 17 36 54 44 52 21 59 42 16 28 43 42 42 39 46 20 27 18 51 35 27 42 42 40 35 60 19 24 35 30 24 30 29 33 57 42 60 0 60
79 8 59 54 18 57 43 68 40 39 50 40 58 47 67 45 17 21 62 33 20 56 35 51 33 62 38 28 50 44 67 53 54 40 49 60 52 38 70 27 13 64 6 60 0
