4 100 46
12 15 13 12
13 936 37 997
24 738 25 778
19 1140 19 1415
28 780 28 1051
45 996 45 1278
21 665 21 892
34 912 34 1136
34 851 34 1141
33 1078 33 1366
36 854 36 1131
5 927 27 950
15 740 27 801
39 602 40 653
30 747 30 1021
19 787 19 989
11 991 11 1017
14 1027 20 1101
15 613 15 814
38 762 34 811
35 809 35 1038
16 637 16 901
8 657 33 744
24 816 24 1023
24 1001 24 1219
34 946 42 1003
25 698 17 752
42 1051 42 1310
8 896 8 1120
5 493 5 738
17 1034 34 1068
32 971 32 1171
41 852 41 1106
26 936 26 1159
23 1021 23 1284
30 824 26 894
44 568 44 849
7 797 7 999
30 714 30 983
24 721 31 767
20 867 20 1136
27 1012 13 1076
30 1029 7 1093
19 518 7 589
5 616 5 801
38 1151 38 1405
30 319 30 504
43 592 43 791
37 446 37 663
36 590 36 833
40 556 40 779
20 917 37 957
42 487 42 711
38 730 38 942
33 620 39 652
5 651 5 913
32 505 29 557
36 655 36 886
41 814 32 876
19 800 19 1100
22 692 41 752
8 466 26 518
19 582 19 868
34 891 34 1105
5 1063 5 1289
28 737 28 974
18 430 18 620
16 1093 16 1323
9 582 9 803
34 1074 37 1122
28 448 28 742
27 1185 27 1466
10 760 10 966
13 426 13 677
44 791 44 1076
33 1116 33 1379
21 338 21 590
32 1139 32 1352
31 823 6 879
17 542 17 758
11 927 35 949
22 363 22 559
26 503 25 578
23 404 23 625
22 408 22 664
7 775 13 843
43 815 14 873
19 627 19 924
30 1160 30 1403
31 844 31 1111
39 685 39 912
5 442 5 689
24 685 24 894
45 484 37 531
22 911 22 1153
43 1164 43 1436
18 608 8 626
29 966 41 992
6 693 6 973
42 1172 42 1431
40 531 40 824
0 85 60 60 33 35 64 20 60 45 39 65 52 76 19 20 53 49 53 72 73 62 47 25 21 29 68 43 44 49 55 42 49 36 35 70 34 54 65 51 18 60 58 28 44 37
85 0 60 60 57 52 32 66 45 56 49 21 51 11 68 66 40 37 49 18 13 30 50 61 72 58 18 44 45 37 44 49 44 59 52 25 59 34 23 51 68 26 35 63 42 60
60 60 0 85 58 52 30 51 17 69 34 45 71 56 53 51 60 46 15 44 57 61 20 48 39 53 51 37 32 45 19 28 61 64 35 37 61 36 54 71 49 45 61 35 44 65
60 60 85 0 32 35 65 46 73 18 52 51 15 52 47 47 27 40 71 60 49 32 66 45 64 38 48 49 54 41 68 58 25 26 52 64 30 52 42 15 50 48 29 59 42 25
33 57 58 32 0 8 46 16 49 14 25 39 19 47 17 17 20 22 45 48 45 30 39 13 33 7 40 24 28 23 44 31 17 6 24 49 3 32 35 20 20 34 26 28 20 8
35 52 52 35 8 0 39 16 42 18 19 33 22 42 17 17 18 16 38 42 40 27 32 12 31 7 34 17 21 17 37 24 16 13 17 42 10 26 30 22 19 28 23 24 13 14
64 32 30 65 46 39 0 46 14 52 25 17 50 27 49 47 38 25 18 15 28 35 20 42 46 43 23 23 21 25 13 22 41 50 29 8 48 14 27 51 47 18 37 37 27 51
20 66 51 46 16 16 46 0 45 29 22 45 35 56 3 1 33 29 40 53 54 42 34 5 19 10 48 24 26 29 41 27 30 20 19 52 17 35 45 35 5 40 39 17 25 21
60 45 17 73 49 42 14 45 0 58 25 29 58 40 48 46 47 33 8 27 41 46 13 42 40 44 35 25 21 32 6 20 48 54 28 21 51 21 39 59 45 29 47 33 32 55
45 56 69 18 14 18 52 29 58 0 36 42 8 46 30 30 17 27 55 51 43 26 50 27 47 21 40 34 38 28 53 42 13 9 35 53 13 39 34 7 33 37 22 41 26 9
39 49 34 52 25 19 25 22 25 36 0 28 38 40 24 22 29 17 20 34 39 34 14 18 24 20 32 6 5 16 20 6 29 31 4 31 27 15 31 38 22 24 32 14 13 32
65 21 45 51 39 33 17 45 29 42 28 0 38 13 48 46 26 18 32 9 12 20 31 40 51 39 7 23 24 17 27 28 30 42 31 14 41 13 11 39 47 6 23 42 22 43
52 51 71 15 19 22 50 35 58 8 38 38 0 41 36 36 13 26 56 47 38 21 51 32 51 26 36 34 39 27 53 43 10 16 38 50 19 38 29 1 39 34 17 45 27 15
76 11 56 52 47 42 27 56 40 46 40 13 41 0 58 56 30 27 43 14 3 21 43 51 63 48 8 35 36 27 39 41 34 49 43 21 48 26 13 42 58 17 25 54 32 49
19 68 53 47 17 17 49 3 48 30 24 48 36 58 0 2 35 31 42 55 56 44 36 8 19 11 50 26 28 32 43 29 32 21 21 54 18 37 47 35 5 43 40 18 27 22
20 66 51 47 17 17 47 1 46 30 22 46 36 56 2 0 34 29 40 53 54 43 34 6 18 11 49 25 26 30 41 27 31 21 19 52 18 35 45 36 4 41 39 16 25 22
53 40 60 27 20 18 38 33 47 17 29 26 13 30 35 34 0 15 45 35 27 10 41 29 48 24 24 25 29 15 42 34 5 20 30 38 21 26 18 14 37 21 6 40 17 21
49 37 46 40 22 16 25 29 33 27 17 18 26 27 31 29 15 0 31 26 25 18 27 24 38 22 20 12 15 1 28 20 16 26 19 27 24 13 17 27 31 13 16 29 5 26
53 49 15 71 45 38 18 40 8 55 20 32 56 43 42 40 45 31 0 32 44 46 7 36 33 40 38 22 18 30 6 14 46 50 22 26 47 21 40 56 38 31 46 26 29 51
72 18 44 60 48 42 15 53 27 51 34 9 47 14 55 53 35 26 32 0 15 28 33 48 57 47 13 30 29 25 27 33 39 51 37 8 50 19 19 48 54 15 32 47 30 52
73 13 57 49 45 40 28 54 41 43 39 12 38 3 56 54 27 25 44 15 0 18 43 49 62 46 7 34 35 25 39 40 31 46 42 22 46 25 10 39 56 15 22 52 30 47
62 30 61 32 30 27 35 42 46 26 34 20 21 21 44 43 10 18 46 28 18 0 43 38 54 33 16 29 32 18 42 37 15 30 36 33 31 26 10 22 45 17 5 46 22 31
47 50 20 66 39 32 20 34 13 50 14 31 51 43 36 34 41 27 7 33 43 43 0 30 28 34 37 17 13 26 9 9 42 44 16 27 41 19 38 51 33 29 43 20 25 46
25 61 48 45 13 12 42 5 42 27 18 40 32 51 8 6 29 24 36 48 49 38 30 0 20 7 43 19 22 25 37 23 27 19 15 47 15 30 40 32 8 35 34 15 20 20
21 72 39 64 33 31 46 19 40 47 24 51 51 63 19 18 48 38 33 57 62 54 28 20 0 26 56 29 28 38 36 25 46 38 21 53 35 39 54 52 15 47 52 10 34 39
29 58 53 38 7 7 43 10 44 21 20 39 26 48 11 11 24 22 40 47 46 33 34 7 26 0 40 20 24 22 39 26 21 13 18 47 9 30 37 26 14 34 30 21 18 14
68 18 51 48 40 34 23 48 35 40 32 7 36 8 50 49 24 20 38 13 7 16 37 43 56 40 0 27 29 19 33 33 28 42 35 19 41 19 7 37 50 9 20 46 24 43
43 44 37 49 24 17 23 24 25 34 6 23 34 35 26 25 25 12 22 30 34 29 17 19 29 20 27 0 5 12 20 9 25 29 9 28 26 11 26 35 25 19 27 19 9 31
44 45 32 54 28 21 21 26 21 38 5 24 39 36 28 26 29 15 18 29 35 32 13 22 28 24 29 5 0 15 16 6 30 33 9 27 30 11 29 39 26 20 31 18 13 35
49 37 45 41 23 17 25 29 32 28 16 17 27 27 32 30 15 1 30 25 25 18 26 25 38 22 19 12 15 0 27 20 17 27 19 26 25 12 16 27 32 12 17 29 5 27
55 44 19 68 44 37 13 41 6 53 20 27 53 39 43 41 42 28 6 27 39 42 9 37 36 39 33 20 16 27 0 14 44 49 23 21 46 17 36 54 40 26 43 28 27 50
