4 100 47
13 12 15 12
8 570 19 638
45 370 45 617
39 670 25 752
8 543 8 807
35 579 35 829
23 960 19 1034
30 745 30 952
36 659 36 950
11 662 11 876
23 796 23 1061
33 605 8 634
5 579 16 630
30 587 30 783
44 880 24 922
33 695 21 752
13 1187 13 1420
30 393 30 642
44 853 44 1042
20 871 20 1166
24 450 46 507
11 975 11 1244
34 765 34 970
20 974 36 1019
8 760 43 789
27 753 27 1010
38 586 15 628
13 875 46 930
13 845 13 1067
35 1007 8 1039
19 735 19 1034
5 1041 32 1134
21 941 21 1145
23 527 44 596
36 377 36 577
6 732 32 766
24 1144 24 1343
5 1020 5 1288
36 426 36 725
41 326 41 532
37 594 37 840
7 965 32 1037
39 1091 39 1287
26 1086 26 1360
37 429 31 474
33 778 33 1016
42 432 6 477
6 1105 6 1293
45 846 45 1050
26 1027 26 1268
26 1089 26 1381
42 722 22 783
33 686 33 892
10 1000 10 1293
20 555 24 631
42 447 42 708
34 1195 34 1424
19 383 19 607
24 933 24 1160
17 1165 17 1359
14 1026 16 1068
36 1038 36 1320
44 770 26 825
16 1020 16 1223
16 426 15 488
16 410 16 592
22 1058 6 1095
45 578 44 621
13 702 13 963
38 1196 38 1381
26 1181 26 1423
23 893 23 1152
27 1079 17 1131
13 1094 13 1362
46 1184 46 1465
31 1092 31 1324
32 643 32 884
30 505 12 553
20 597 20 896
6 1095 6 1302
19 376 19 590
15 530 39 593
21 570 21 826
45 1068 45 1267
37 893 35 930
30 431 30 710
26 859 26 896
28 489 33 550
45 526 6 589
20 508 5 573
16 712 16 901
42 452 36 499
40 889 14 947
40 370 40 660
6 870 6 1074
18 887 18 1151
10 743 45 772
25 938 25 1153
37 1194 37 1440
8 726 8 941
26 1196 26 1496
0 85 60 60 44 59 35 6 38 16 36 28 64 16 57 38 52 26 15 65 20 28 35 41 63 45 38 54 26 36 46 37 42 54 44 53 48 66 30 53 46 52 37 39 65 51 34
85 0 60 60 44 58 55 80 48 72 61 66 26 71 29 62 34 67 75 26 67 62 60 48 27 52 59 32 61 60 58 62 52 34 43 42 39 32 56 47 52 47 61 50 30 42 53
60 60 0 85 33 4 57 56 44 46 26 64 58 47 45 68 43 63 60 36 43 58 63 55 36 66 24 42 39 26 72 68 62 36 48 64 38 67 48 19 20 67 25 34 32 26 51
60 60 85 0 53 82 31 59 43 58 66 34 37 55 45 24 45 36 47 60 56 36 27 31 58 21 66 47 54 65 16 25 25 52 38 23 49 30 42 68 66 19 66 53 64 61 37
44 44 33 53 0 29 26 39 12 30 19 35 30 29 18 37 13 35 37 21 25 29 32 23 20 33 17 14 18 18 40 37 29 10 15 32 6 37 18 16 14 35 19 6 21 10 20
59 58 4 82 29 0 54 54 40 44 24 61 54 45 42 65 40 60 58 33 41 55 60 52 33 62 22 38 37 24 69 65 58 32 44 60 34 64 44 15 17 63 23 30 29 22 48
35 55 57 31 26 54 0 32 14 29 35 12 31 26 29 12 25 13 22 42 25 8 7 8 40 12 36 28 23 35 16 11 7 31 15 19 25 32 11 41 38 18 36 24 44 35 7
6 80 56 59 39 54 32 0 33 11 31 26 59 11 52 36 47 24 13 60 15 25 33 37 58 42 33 49 21 31 44 35 38 48 39 50 42 62 26 47 41 49 32 33 59 46 30
38 48 44 43 12 40 14 33 0 26 24 23 27 24 20 26 15 24 28 30 21 18 21 12 28 22 24 17 16 23 29 25 18 18 8 23 12 33 9 27 25 25 25 11 31 21 9
16 72 46 58 30 44 29 11 26 0 21 26 53 4 44 36 39 25 17 50 5 23 32 33 49 40 23 41 12 21 43 35 36 39 33 46 34 57 20 37 30 45 22 24 50 36 25
36 61 26 66 19 24 35 31 24 21 0 39 48 22 36 46 32 38 35 36 18 34 41 35 35 45 3 32 14 1 51 45 41 28 31 47 25 55 25 19 11 49 1 15 34 20 29
28 66 64 34 35 61 12 26 23 26 39 0 42 23 40 10 36 2 14 52 25 7 9 19 50 18 40 39 25 39 19 9 16 41 25 28 35 42 17 49 45 26 40 32 54 44 16
64 26 58 37 30 54 31 59 27 53 48 42 0 51 13 37 17 43 51 25 48 38 35 24 24 27 47 17 43 47 33 37 27 23 21 17 24 10 34 40 42 22 47 34 29 33 30
16 71 47 55 29 45 26 11 24 4 22 23 51 0 43 32 38 22 14 49 5 20 28 30 48 37 24 39 11 22 40 32 33 38 30 43 32 55 17 37 31 43 23 23 49 35 22
57 29 45 45 18 42 29 52 20 44 36 40 13 43 0 38 5 40 47 15 39 35 34 22 13 30 35 4 33 35 37 38 28 10 15 22 12 22 28 27 30 27 36 23 19 20 26
38 62 68 24 37 65 12 36 26 36 46 10 37 32 38 0 35 12 24 52 33 13 5 17 50 10 47 38 33 45 9 1 11 41 25 21 35 35 22 52 49 17 46 35 54 46 18
52 34 43 45 13 40 25 47 15 39 32 36 17 38 5 35 0 36 42 18 34 30 31 18 16 27 30 3 28 31 35 34 25 8 11 22 7 25 23 25 26 26 32 18 20 18 21
26 67 63 36 35 60 13 24 24 25 38 2 43 22 40 12 36 0 12 52 23 7 10 20 51 20 39 39 24 38 21 11 18 41 26 30 35 43 17 49 44 27 39 31 54 44 16
15 75 60 47 37 58 22 13 28 17 35 14 51 14 47 24 42 12 0 57 18 14 21 28 55 31 36 44 22 34 32 23 28 45 33 40 39 53 20 49 43 38 36 32 57 45 22
65 26 36 60 21 33 42 60 30 50 36 52 25 49 15 52 18 52 57 0 45 46 48 36 2 44 34 15 39 35 51 52 42 12 28 37 19 35 37 21 26 42 35 27 5 17 37
20 67 43 56 25 41 25 15 21 5 18 25 48 5 39 33 34 23 18 45 0 21 29 29 44 36 20 36 7 18 40 32 32 34 28 42 29 53 16 33 27 42 19 19 45 31 20
28 62 58 36 29 55 8 25 18 23 34 7 38 20 35 13 30 7 14 46 21 0 9 15 44 18 35 33 20 33 20 12 14 35 20 26 29 39 11 43 39 24 35 25 48 38 10
35 60 63 27 32 60 7 33 21 32 41 9 35 28 34 5 31 10 21 48 29 9 0 13 46 10 42 34 28 40 12 5 8 37 20 20 31 34 17 48 44 17 42 31 50 42 13
41 48 55 31 23 52 8 37 12 33 35 19 24 30 22 17 18 20 28 36 29 15 13 0 34 11 35 21 25 34 18 16 7 25 9 14 20 26 13 38 36 14 36 23 38 31 9
63 27 36 58 20 33 40 58 28 49 35 50 24 48 13 50 16 51 55 2 44 44 46 34 0 42 33 13 38 34 50 50 40 10 26 35 17 34 36 21 26 40 34 25 6 16 35
45 52 66 21 33 62 12 42 22 40 45 18 27 37 30 10 27 20 31 44 36 18 10 11 42 0 46 30 34 45 8 11 5 35 19 11 30 25 22 49 46 8 46 33 47 42 17
38 59 24 66 17 22 36 33 24 23 3 40 47 24 35 47 30 39 36 34 20 35 42 35 33 46 0 31 16 2 52 46 41 26 30 47 23 54 25 16 9 49 2 14 32 18 30
54 32 42 47 14 38 28 49 17 41 32 39 17 39 4 38 3 39 44 15 36 33 34 21 13 30 31 0 30 31 38 37 28 6 14 24 8 26 25 24 26 29 32 19 17 17 24
26 61 39 54 18 37 23 21 16 12 14 25 43 11 33 33 28 24 22 39 7 20 28 25 38 34 16 30 0 14 39 32 29 28 23 38 23 48 12 28 22 38 15 13 39 25 17
36 60 26 65 18 24 35 31 23 21 1 39 47 22 35 45 31 38 34 35 18 33 40 34 34 45 2 31 14 0 50 44 40 27 30 46 24 54 24 18 11 48 2 14 33 19 28
46 58 72 16 40 69 16 44 29 43 51 19 33 40 37 9 35 21 32 51 40 20 12 18 50 8 52 38 39 50 0 10 11 42 26 17 37 29 27 55 53 12 52 39 54 49 23
37 62 68 25 37 65 11 35 25 35 45 9 37 32 38 1 34 11 23 52 32 12 5 16 50 11 46 37 32 44 10 0 11 41 25 22 35 35 21 52 49 18 46 35 54 46 17
