4 100 41
13 15 15 16
12 771 12 982
26 657 26 853
13 513 13 717
7 887 7 1182
30 1140 30 1326
34 1055 34 1312
19 1082 19 1369
12 1043 30 1085
26 595 27 647
17 955 17 1176
10 916 10 1110
7 880 7 1127
6 696 6 918
5 1199 5 1394
14 838 14 1028
18 1052 18 1233
22 1173 22 1416
29 567 29 751
37 965 37 1176
35 798 17 852
12 616 12 801
8 983 8 1235
32 472 32 710
16 561 16 794
36 401 36 680
15 650 15 835
17 698 17 984
6 550 33 606
24 421 13 490
22 635 22 857
12 840 38 892
20 816 35 893
9 781 9 1059
15 1166 15 1382
6 328 6 596
30 1080 30 1380
20 930 30 974
8 1018 21 1079
21 422 14 468
13 1072 19 1140
22 729 37 785
18 729 18 932
6 1040 6 1242
26 577 26 864
23 1052 23 1258
28 999 5 1058
35 439 35 626
38 532 38 771
13 486 21 536
12 346 12 611
37 967 37 1160
38 929 29 992
26 553 31 617
28 850 28 1092
36 920 22 971
38 701 38 996
29 1122 29 1385
7 731 7 961
33 1047 19 1095
7 559 16 613
12 1038 12 1078
9 416 9 605
12 444 12 626
6 786 36 831
30 941 10 964
23 903 11 974
20 521 20 735
24 1117 24 1331
8 567 35 647
34 498 34 715
20 394 20 659
20 939 20 1148
18 302 18 589
8 1019 8 1298
20 426 20 607
13 436 13 725
18 977 18 1247
31 808 31 1064
33 896 22 967
27 492 33 527
15 800 15 1029
26 903 20 948
31 962 25 999
13 692 13 932
6 880 21 951
32 689 32 938
19 1023 19 1292
20 336 20 600
31 851 31 1080
9 1026 39 1065
38 762 38 1004
33 876 33 1085
20 1142 20 1427
6 1047 6 1252
22 1029 33 1106
25 566 25 830
28 807 13 856
30 360 30 604
25 351 25 535
30 1061 40 1078
0 85 60 60 45 56 44 48 9 64 49 19 29 69 38 56 11 75 76 54 60 55 51 59 59 35 75 51 50 61 49 46 24 65 65 47 45 62 30 63 45
85 0 60 60 50 52 50 51 77 27 49 73 62 19 64 44 76 12 10 45 33 36 53 45 39 55 13 35 38 38 39 45 66 24 22 47 41 25 62 23 42
60 60 0 85 23 11 24 68 57 35 19 62 59 56 72 19 56 56 52 68 62 58 13 72 23 33 59 43 33 24 34 28 39 57 55 23 38 42 33 46 39
60 60 85 0 63 76 62 18 53 60 67 43 34 44 22 69 52 51 57 19 30 30 73 17 67 56 49 44 54 68 52 58 58 39 41 63 48 52 60 50 47
45 50 23 63 0 14 1 45 39 24 6 42 37 40 49 12 38 42 40 46 41 37 10 50 15 11 44 22 13 17 14 7 22 39 38 3 16 26 16 30 17
56 52 11 76 14 0 15 58 52 26 9 55 51 46 63 9 50 47 43 58 51 48 6 62 14 25 49 33 23 15 24 18 34 47 45 14 28 32 28 36 29
44 50 24 62 1 15 0 44 38 24 7 41 36 40 48 13 37 42 40 45 41 36 11 49 16 10 44 22 14 18 14 6 21 39 38 4 16 26 15 30 16
48 51 68 18 45 58 44 0 39 45 49 30 20 33 14 52 38 41 46 8 19 17 55 12 50 38 39 28 37 51 35 40 41 28 30 45 30 37 42 36 30
9 77 57 53 39 52 38 39 0 57 44 11 20 60 31 50 2 66 68 45 51 46 46 50 52 28 66 42 43 55 41 39 19 56 57 41 37 54 24 55 37
64 27 35 60 24 26 24 45 57 0 23 56 47 22 55 18 56 22 18 42 32 30 27 44 12 31 24 19 14 12 16 20 42 25 23 21 20 9 37 13 21
49 49 19 67 6 9 7 49 44 23 0 47 42 41 54 8 43 43 40 50 44 40 6 54 12 17 45 25 15 14 16 10 26 41 39 5 20 26 20 31 20
19 73 62 43 42 55 41 30 11 56 47 0 12 55 21 53 10 62 65 37 44 39 51 41 54 31 62 39 42 56 41 41 24 51 52 44 36 51 29 52 35
29 62 59 34 37 51 36 20 20 47 42 12 0 44 14 47 19 51 54 26 33 28 47 31 47 27 50 30 34 49 32 34 25 40 40 38 28 41 28 42 27
69 19 56 44 40 46 40 33 60 22 41 55 44 0 46 38 59 8 14 28 16 18 46 28 33 41 7 20 27 33 27 34 51 6 4 38 27 15 48 11 27
38 64 72 22 49 63 48 14 31 55 54 21 14 46 0 58 30 53 58 21 32 29 59 25 57 40 52 37 44 58 42 45 39 41 43 50 37 48 42 47 36
56 44 19 69 12 9 13 52 50 18 8 53 47 38 58 0 49 39 35 51 44 40 10 54 6 23 41 25 15 7 17 13 33 39 37 10 22 23 27 27 22
11 76 56 52 38 50 37 38 2 56 43 10 19 59 30 49 0 65 67 44 49 44 46 49 51 27 65 41 42 53 40 38 18 55 55 40 36 52 24 54 35
75 12 56 51 42 47 42 41 66 22 43 62 51 8 53 39 65 0 8 35 23 25 47 35 34 46 3 25 30 33 30 37 56 13 11 40 31 17 52 13 32
76 10 52 57 40 43 40 46 68 18 40 65 54 14 58 35 67 8 0 40 29 30 44 41 30 45 10 26 28 28 29 35 56 19 16 37 32 15 52 13 32
54 45 68 19 46 58 45 8 45 42 50 37 26 28 21 51 44 35 40 0 13 12 55 5 48 40 33 26 36 49 34 40 45 23 24 45 30 34 45 32 30
60 33 62 30 41 51 41 19 51 32 44 44 33 16 32 44 49 23 29 13 0 6 50 13 40 39 21 19 29 41 28 35 46 10 13 40 25 24 44 21 25
55 36 58 30 37 48 36 17 46 30 40 39 28 18 29 40 44 25 30 12 6 0 46 15 37 34 24 15 25 38 24 31 41 13 14 36 21 22 40 20 21
51 53 13 73 10 6 11 55 46 27 6 51 47 46 59 10 46 47 44 55 50 46 0 59 15 20 50 31 21 17 22 15 29 46 45 10 25 32 22 36 26
59 45 72 17 50 62 49 12 50 44 54 41 31 28 25 54 49 35 41 5 13 15 59 0 51 45 33 29 39 52 38 44 50 23 25 49 34 36 50 33 34
59 39 23 67 15 14 16 50 52 12 12 54 47 33 57 6 51 34 30 48 40 37 15 51 0 25 36 23 13 3 15 14 36 34 33 12 20 19 30 23 21
