4 100 39
14 15 15 12
18 328 18 596
38 673 17 718
8 677 22 734
5 1041 5 1273
12 685 12 912
8 577 28 597
16 874 16 1061
12 554 12 792
21 1031 36 1092
30 1121 30 1302
31 608 31 817
6 858 6 1157
22 440 31 500
12 738 26 772
35 638 34 703
22 861 12 912
28 925 28 1121
19 716 38 749
36 1066 19 1115
31 668 17 733
5 940 5 1229
35 1053 31 1090
17 581 17 874
23 548 23 578
13 667 13 886
9 439 28 483
36 497 21 561
27 608 27 817
37 307 37 531
11 690 11 897
22 568 20 646
13 942 33 984
30 656 30 917
38 848 16 916
21 625 21 842
12 790 12 1001
32 558 32 851
18 1086 18 1374
9 877 9 1159
31 814 13 884
18 660 18 937
11 530 11 827
6 1052 6 1337
17 645 9 725
12 1022 15 1072
10 945 10 1161
11 581 11 865
8 770 20 836
32 824 20 860
19 765 19 1031
36 743 36 1026
37 711 18 772
33 424 8 473
5 525 5 719
25 1078 30 1172
12 1134 12 1372
30 682 30 928
13 379 13 632
38 985 17 1016
25 487 12 520
33 664 17 731
21 818 23 910
18 852 18 1048
37 971 37 1182
8 964 8 1220
23 837 23 1087
15 620 15 920
22 714 22 915
11 591 11 816
36 568 36 788
18 830 7 894
13 1029 13 1328
10 633 33 687
26 874 26 1125
37 713 37 1006
20 624 20 890
13 873 22 968
29 646 5 711
18 1075 10 1131
15 534 15 764
6 406 6 623
9 1049 9 1275
25 1140 25 1338
34 1119 34 1411
17 470 17 760
23 621 23 658
25 467 25 748
26 492 21 545
7 1129 7 1372
33 1107 33 1353
33 636 33 925
32 775 32 1030
12 912 30 980
28 1060 17 1112
9 339 9 637
25 421 25 717
11 1044 11 1328
12 837 14 875
30 886 14 975
10 319 10 574
0 85 60 60 38 45 59 71 41 35 58 30 26 61 14 64 13 54 57 50 74 6 59 78 53 15 39 43 29 40 69 37 72 36 34 53 46 50 49
85 0 60 60 48 48 33 17 51 65 28 61 63 40 74 26 74 33 40 39 12 81 58 9 34 72 46 56 62 48 22 56 17 63 58 56 42 39 38
60 60 0 85 38 26 60 45 60 70 47 34 56 22 59 37 58 37 65 56 52 60 82 53 51 57 42 20 59 53 60 62 45 26 30 76 34 32 49
60 60 85 0 48 60 31 58 27 25 43 59 39 70 48 58 49 52 23 31 54 56 4 59 37 47 44 68 34 33 40 27 59 67 60 10 52 55 38
38 48 38 48 0 13 29 33 22 33 22 15 20 28 29 26 29 16 31 21 37 35 45 41 20 27 5 20 23 15 35 24 34 21 14 39 9 13 15
45 48 26 60 13 0 37 31 35 45 26 16 32 17 39 22 38 16 41 31 37 42 56 39 27 37 17 11 35 28 40 36 31 16 12 51 9 10 24
59 33 60 31 29 37 0 27 20 34 14 43 34 42 47 28 47 24 9 9 24 54 27 30 10 45 25 46 32 20 12 25 28 49 42 25 28 29 14
71 17 45 58 33 31 27 0 42 56 17 45 50 24 61 9 61 17 35 31 8 67 54 9 24 59 32 40 50 37 20 46 1 46 42 51 26 23 26
41 51 60 27 22 35 20 42 0 15 26 33 16 47 28 39 28 30 16 13 42 36 23 47 19 26 18 42 13 8 31 5 43 41 34 17 28 31 16
35 65 70 25 33 45 34 56 15 0 40 39 16 59 23 53 24 44 28 27 56 31 24 61 33 22 30 51 12 21 45 10 57 48 41 18 40 43 31
58 28 47 43 22 26 14 17 26 40 0 35 35 28 47 15 47 11 21 15 17 54 40 22 7 45 19 36 35 21 14 30 18 40 33 36 18 17 10
30 61 34 59 15 16 43 45 33 39 35 0 23 32 26 37 25 28 44 35 49 28 56 53 34 24 18 15 27 27 49 32 45 10 5 49 19 23 30
26 63 56 39 20 32 34 50 16 16 35 23 0 48 13 44 13 35 32 25 52 21 36 57 30 11 19 36 5 15 44 12 51 33 26 30 29 33 25
61 40 22 70 28 17 42 24 47 59 28 32 48 0 55 16 54 18 48 39 31 59 66 32 33 53 30 21 50 40 40 50 24 29 28 61 20 16 32
14 74 59 48 29 39 47 61 28 23 47 26 13 55 0 55 2 45 43 38 63 9 45 68 42 3 29 40 15 28 57 24 62 34 30 40 37 42 37
64 26 37 58 26 22 28 9 39 53 15 37 44 16 55 0 54 10 35 28 16 60 54 18 21 52 26 31 45 33 24 43 9 38 33 50 18 15 23
13 74 58 49 29 38 47 61 28 24 47 25 13 54 2 54 0 44 44 38 63 8 47 68 42 3 29 39 16 28 57 24 62 33 29 41 37 41 37
54 33 37 52 16 16 24 17 30 44 11 28 35 18 45 10 44 0 30 22 22 50 48 25 15 43 16 26 36 24 25 34 18 31 25 43 9 7 15
57 40 65 23 31 41 9 35 16 28 21 44 32 48 43 35 44 30 0 10 33 52 19 37 15 42 26 50 29 19 19 21 36 51 44 16 32 34 17
50 39 56 31 21 31 9 31 13 27 15 35 25 39 38 28 38 22 10 0 30 45 27 35 8 36 17 40 24 11 20 17 32 42 34 22 23 25 8
74 12 52 54 37 37 24 8 42 56 17 49 52 31 63 16 63 22 33 30 0 70 51 6 23 61 35 46 51 38 15 46 8 52 47 49 31 28 27
6 81 60 56 35 42 54 67 36 31 54 28 21 59 9 60 8 50 52 45 70 0 54 74 49 10 35 42 24 35 64 32 68 35 32 48 43 47 44
59 58 82 4 45 56 27 54 23 24 40 56 36 66 45 54 47 48 19 27 51 54 0 56 34 45 40 65 32 30 37 25 55 64 57 7 49 51 34
78 9 53 59 41 39 30 9 47 61 22 53 57 32 68 18 68 25 37 35 6 74 56 0 28 66 40 48 56 43 20 51 9 55 50 53 34 31 32
53 34 51 37 20 27 10 24 19 33 7 34 30 33 42 21 42 15 15 8 23 49 34 28 0 39 16 37 29 15 16 24 25 40 32 29 19 19 5
15 72 57 47 27 37 45 59 26 22 45 24 11 53 3 52 3 43 42 36 61 10 45 66 39 0 27 38 14 25 55 22 60 32 28 38 35 39 35
39 46 42 44 5 17 25 32 18 30 19 18 19 30 29 26 29 16 26 17 35 35 40 40 16 27 0 25 20 11 32 20 33 25 18 34 11 15 12
43 56 20 68 20 11 46 40 42 51 36 15 36 21 40 31 39 26 50 40 46 42 65 48 37 38 25 0 40 35 50 43 40 9 11 59 19 19 34
29 62 59 34 23 35 32 50 13 12 35 27 5 50 15 45 16 36 29 24 51 24 32 56 29 14 20 40 0 14 43 9 51 37 30 26 31 35 25
40 48 53 33 15 28 20 37 8 21 21 27 15 40 28 33 28 24 19 11 38 35 30 43 15 25 11 35 14 0 30 11 38 35 27 24 21 24 11
69 22 60 40 35 40 12 20 31 45 14 49 44 40 57 24 57 25 19 20 15 64 37 20 16 55 32 50 43 30 0 36 21 54 47 35 32 31 21
37 56 62 27 24 36 25 46 5 10 30 32 12 50 24 43 24 34 21 17 46 32 25 51 24 22 20 43 9 11 36 0 47 41 34 18 30 34 21
72 17 45 59 34 31 28 1 43 57 18 45 51 24 62 9 62 18 36 32 8 68 55 9 25 60 33 40 51 38 21 47 0 47 42 52 27 23 27
36 63 26 67 21 16 49 46 41 48 40 10 33 29 34 38 33 31 51 42 52 35 64 55 40 32 25 9 37 35 54 41 47 0 8 58 23 25 36
34 58 30 60 14 12 42 42 34 41 33 5 26 28 30 33 29 25 44 34 47 32 57 50 32 28 18 11 30 27 47 34 42 8 0 50 17 19 29
53 56 76 10 39 51 25 51 17 18 36 49 30 61 40 50 41 43 16 22 49 48 7 53 29 38 34 59 26 24 35 18 52 58 50 0 43 46 29
46 42 34 52 9 9 28 26 28 40 18 19 29 20 37 18 37 9 32 23 31 43 49 34 19 35 11 19 31 21 32 30 27 23 17 43 0 5 16
50 39 32 55 13 10 29 23 31 43 17 23 33 16 42 15 41 7 34 25 28 47 51 31 19 39 15 19 35 24 31 34 23 25 19 46 5 0 17
49 38 49 38 15 24 14 26 16 31 10 30 25 32 37 23 37 15 17 8 27 44 34 32 5 35 12 34 25 11 21 21 27 36 29 29 16 17 0
