8 1500 574
86 91 76 86 78 94 95 86
507 602 507 807
279 540 310 619
319 678 495 720
299 1140 299 1368
381 348 381 638
259 927 259 1164
180 1128 180 1368
152 931 152 1225
136 436 479 512
191 461 270 505
232 1124 232 1334
555 438 555 648
489 945 489 1178
368 1136 368 1357
364 816 491 850
397 463 14 526
276 999 276 1247
399 979 381 1058
48 1030 48 1317
553 768 553 1000
240 354 240 605
524 1131 524 1422
29 858 29 1112
571 375 571 564
546 983 546 1208
244 503 283 529
567 447 246 504
280 1074 231 1129
569 1046 349 1072
396 582 396 880
48 756 284 815
559 1042 559 1280
534 1043 200 1109
197 619 151 704
125 1101 125 1384
183 785 183 1057
107 1051 107 1308
190 607 175 640
154 458 371 499
294 976 294 1165
10 486 127 551
382 696 249 743
155 898 155 1109
566 744 566 1030
123 422 123 628
447 611 167 650
32 646 32 928
344 540 344 830
572 583 572 845
510 1146 510 1408
302 904 302 1161
464 1058 464 1302
391 577 391 835
341 434 365 524
394 304 394 525
155 602 155 892
209 954 30 1011
409 823 409 1099
247 594 247 838
366 462 366 644
125 520 125 803
187 816 377 879
566 470 202 560
223 531 59 553
349 595 85 660
186 1025 302 1065
86 726 437 787
369 385 369 640
255 713 255 912
141 969 343 1008
219 611 219 869
117 1160 117 1358
277 555 277 757
424 681 484 753
537 1056 537 1292
176 857 176 1060
496 382 496 577
346 665 144 707
119 1102 119 1378
106 1037 522 1083
433 839 397 898
41 1161 41 1431
285 850 285 1071
351 1027 544 1065
280 885 163 929
147 929 488 1007
387 877 387 1090
444 595 444 810
332 998 332 1194
228 935 291 989
210 448 210 675
256 682 256 866
431 1052 418 1128
215 941 215 1185
31 1036 31 1295
343 760 562 797
280 480 280 705
214 990 461 1033
282 1070 17 1129
130 317 130 616
95 454 464 511
340 439 340 636
298 853 298 1070
263 829 231 860
215 1066 120 1134
274 462 274 694
531 822 531 1060
227 404 227 662
160 522 450 578
386 1058 386 1244
142 761 142 958
270 1068 250 1109
351 955 351 1222
182 483 182 666
188 840 339 892
215 546 28 623
204 1115 204 1377
295 426 295 652
329 911 329 1160
237 568 237 833
291 699 470 754
236 1042 236 1320
377 1069 190 1103
137 999 137 1255
526 423 281 491
379 475 212 534
57 489 57 697
167 867 167 1083
234 1155 234 1339
162 415 162 638
519 1185 519 1394
569 643 392 711
444 652 334 728
452 692 452 978
45 457 45 657
78 469 78 729
186 314 186 602
572 415 572 600
235 842 171 863
57 850 57 1032
17 1021 17 1289
498 515 23 548
129 1129 129 1379
537 729 537 999
349 979 11 1021
174 672 174 856
22 344 22 605
488 660 488 952
117 1065 261 1113
216 741 180 779
143 1057 143 1239
486 417 486 688
315 1008 315 1251
480 471 480 724
341 696 449 767
137 935 137 1127
272 823 272 1111
465 453 471 479
544 347 544 591
482 342 482 529
142 674 475 705
350 966 479 1027
250 1055 193 1112
271 421 271 626
305 920 38 983
65 657 198 706
99 719 441 779
346 911 346 1132
327 1123 327 1346
178 1037 178 1252
336 1031 336 1290
497 565 497 751
568 642 202 697
509 752 509 959
484 1041 484 1320
488 649 488 841
314 654 314 837
514 826 319 877
485 341 485 578
246 575 279 635
563 707 563 912
164 421 78 484
193 1163 193 1402
453 645 453 939
535 1149 535 1441
566 809 239 824
509 937 498 1045
398 410 398 600
147 905 331 944
527 518 527 777
386 917 347 973
573 1033 102 1109
325 839 325 1134
375 882 375 1126
199 603 79 649
233 980 39 1036
371 1143 371 1346
421 472 421 769
210 493 527 524
192 1058 491 1130
363 1026 558 1067
142 785 142 1030
82 464 82 680
114 327 114 569
553 1082 553 1369
453 1001 71 1032
553 1107 553 1354
476 877 476 1125
79 1021 79 1319
101 471 270 511
287 1153 287 1357
469 378 469 612
179 865 287 918
229 626 132 679
382 823 371 904
435 622 115 678
85 433 546 470
321 514 158 602
541 598 541 852
318 1019 318 1205
73 911 73 1194
278 844 278 1135
456 747 533 794
505 1042 252 1106
402 640 402 878
408 471 152 559
270 455 185 496
527 319 527 594
464 825 377 872
371 617 371 911
446 881 446 1116
169 446 169 668
244 511 244 695
142 584 197 677
209 698 209 977
418 711 418 989
558 516 529 564
329 1026 490 1051
566 808 566 1069
258 1120 258 1375
146 882 347 917
438 693 438 876
94 1193 94 1377
525 804 525 991
317 439 317 659
344 619 160 680
